,original_triple,Verbalisation,SubjectCQ,PropertyCQ,ObjectCQ,Theme
0,Evil-Lyn plays the henchperson role.,A fictional character plays a role.,What fictional character plays a role?,What is the relation between a fictional character and a role?,What role does a fictional character play?,Astronaut
1,Evil-Lyn plays the henchperson role.,A fictional character plays a stock character.,Who plays a stock character?,What is the relationship between a fictional character and a stock character?,What does a fictional character play?,Astronaut
2,Léopold Eyharts is nicknamed Leo.,A person is nicknamed a name.,What person is nicknamed a name?,What is the relation between a person and a name?,What nickname does a person have?,Astronaut
3,Léopold Eyharts is nicknamed Leo.,An astronaut is nicknamed Leo.,Who is nicknamed Leo?,What is the relationship of an astronaut and Leo?,What is an astronaut nicknamed?,Astronaut
4,Michael J Adams was involved in the Korean War.,A person was involved in a war.,What person was involved in a war?,What is the relation between a person and a war?,What is a person involved in?,Astronaut
5,Michael J Adams was involved in the Korean War.,An engineer was involved in a war.,Who was involved in a war?,What is the relationship between an engineer and war?,Where was an engineer involved?,Astronaut
6,"Buzz Lightyear's catchphrase is ""To infinity, and beyond!"".",A fictional character's catchphrase is a phrase.,What fictional character's catchphrase is a phrase?,What is the relation between a fictional character and a phrase?,What phrase is the catchphrase of a fictional character?,Astronaut
7,"Buzz Lightyear's catchphrase is ""To infinity, and beyond!"".","A fictional character's catchphrase is ""To infinity, and beyond!""","What is ""To infinity, and beyond!""?","What is the relationship between a fictional character catchphrase and ""To infinity, and beyond!""?",What is a fictional character's catchphrase?,Astronaut
8,Marc Garneau is a candidate in the 2019 Canadian federal election.,A person is a candidate in an election.,What person is a candidate in an election?,What is the relation between a person and an election?,What election is a person a candidate in?,Astronaut
9,Marc Garneau is a candidate in the 2019 Canadian federal election.,An astronaut is a candidate in elections.,Who is a candidate in elections?,What is the relationship between a candidate and elections?,What is an astronaut?,Astronaut
10,Harrison Schmitt is a creator of works protected by copyrights.,A person is a creator of a work.,What person is a creator of a work?,What is the relation between a person and a work?,What type of work is a person a creator of?,Astronaut
11,Harrison Schmitt is a creator of works protected by copyrights.,An astronaut is a creator of copyrighted work. ,Who is a creator of copyrighted work?,What is the relationship between an astronaut and copyrighted work?,What is an astronaut a creator of?,Astronaut
12,Michael S Hopkins' religion is Catholicism.,A person's religion is a religion.,What person's religion is a religion?,What is the relation between a person and a religion?,What religion does a person have?,Astronaut
13,Michael S Hopkins' religion is Catholicism.,An astronaut's religion is Christianism,Whose religion is Chtistianism?,What is the relationship between an astronaut 's religion and Christianishm,What is the religion of an astronaut?,Astronaut
14,Heike Walpot was a participant in the 1976 Summer Olympics.,A person was a participant in an olympic game.,What person was a participant in an olympic game?,What is the relation between a person and an olympic game?,What olympic game was a person a participant in?,Astronaut
15,Heike Walpot was a participant in the 1976 Summer Olympics.,A pilot was a participant in the Olympic games,Who was a participant in the Olympic games?,What is the relationship between a pilot and the Olympic games?,Where was an astronaut a participant?,Astronaut
16,"Jack Swigert's work location is Washington, D.C.",A person's work location is a city.,What person's work location is a city?,What is the relation between a person and a city?,What city is a person's work location?,Astronaut
